path,type,num_rows,num_columns,rows_with_fall_like_true,rows_with_valid_like_false,rows_with_invalid_like_true,rows_with_success_like_false,interesting_keys
data/rollout_metrics/gms_sponge_downslope_hold_evidence_v0.json,json,1,5,0,0,0,0,cases|decision|terrain_name|world
data/sanity_results/tracer_fusion_ram_gate_joined_gate_eval_closed_slippery_20260624_151729.csv,csv,3,37,0,1,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_active_hold_joined_slip_active_hold_v2_20260623_212626.csv,csv,5,37,1,1,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_active_hold_top2_joined_slip_active_hold_top2_v2_20260623_215051.csv,csv,6,37,1,1,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_micro_brake_staged_v4_joined_slippery_micro_brake_late_vx_v5_20260623_234853.csv,csv,3,37,2,2,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_micro_brake_staged_v4_joined_slippery_micro_brake_no_vx_v6_20260623_235523.csv,csv,3,37,2,2,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_micro_brake_staged_v4_joined_slippery_micro_brake_staged_v4_20260623_232815.csv,csv,3,37,2,2,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_micro_brake_staged_v4_joined_slippery_micro_brake_staged_v4_fixed_20260623_234222.csv,csv,3,37,2,2,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_micro_brake_v3_joined_slippery_micro_brake_v3_20260623_232039.csv,csv,3,37,2,2,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_primitive_joined_slip_primitive_v0_20260623_204322.csv,csv,4,37,2,2,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_primitive_joined_slip_primitive_v0_repeat1_20260623_205154.csv,csv,4,37,1,2,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_primitive_joined_slip_primitive_v0_repeat2_20260623_205733.csv,csv,4,37,2,2,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_primitive_joined_slip_primitive_v0_repeat3_20260623_210310.csv,csv,4,37,4,4,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
data/sanity_results/tracer_slippery_primitive_joined_slip_primitive_v1_20260623_211152.csv,csv,6,37,4,5,0,0,sanity_tag|terrain_key_fusion|world_name_fusion|semantic_mode|style|decision|valid_locomotion_candidate|fallen_relative_z_based|min_rel_z|fallen_mean|fallen_tail3_mean|fallen_tail5_mean|num_gate_samples|semantic_last|ctrl_ema_tail5_mean_gate|fallen_tail5_mean_gate|sigma_tail5_mean_gate
